0,Imagen,Nombre,Desc (ES),Desc (EN),Count,Points,Points A,Points B,Points C,Points D,Points E
1,,Appligi,"Appligi es un pequeño monstruo azul clarito con tres ojazos curiosos que siempre observa todo. Es tímido, dulce y vive enamorado de las manzanas. Puede pasarse horas oliéndolas, ordenándolas y eligiendo su favorita. Aunque es pequeñín, tiene un corazón enorme y siempre quiere compartir su fruta, incluso cuando es su última. Le encanta esconder manzanas en lugares insólitos, lo que a veces causa caos adorable.","Appligi is a small, light blue monster with three curious eyes that always observes everything. He's shy, sweet, and completely in love with apples. He can spend hours smelling them, arranging them, and choosing his favorite. Although he's tiny, he has a huge heart and always wants to share his fruit, even when it's his last. He loves hiding apples in unusual places, which sometimes causes adorable chaos.",408,1,,,1,,
2,,Appligore,"Appligore es la versión grande, redonda y glotona de Appligi. Aunque parece feroz por su tamaño, es más bien un peluche comilón que no puede resistirse a ninguna manzana. Siempre tiene varias a su alrededor y casi siempre está comiendo dos al mismo tiempo. Se sienta feliz en el suelo y rueda sin querer cuando intenta levantarse. A pesar de ser torpe, es muy cariñoso y protege a sus amigos con abrazos gigantes. Cuando ríe, todo su cuerpo tiembla como una gelatina monstruosa llena de buen humor.","Appligore is the big, round, and gluttonous version of Appligi. Although he looks fierce because of his size, he's more of a gluttonous plushie who can't resist any apple. He always has several around him and is almost always eating two at the same time. He sits happily on the floor and accidentally rolls over when he tries to get up. Despite being clumsy, he's very affectionate and protects his friends with giant hugs. When he laughs, his whole body jiggles like a monstrous, joyful jelly.",494,3,,,3,,
3,,Batli,"Batli es un monstruito amarillo al que le encanta vivir boca abajo. Dice que así el mundo se ve más divertido. Sus alas rosadas no sirven para volar muy alto, pero sí para hacer piruetas rarísimas que confunden a todos. Es juguetón, ruidoso y siempre está riéndose de cosas que sólo él entiende. Le gusta colgarse de cualquier sitio: ramas, estanterías, puertas, incluso amigos despistados.","Batli is a little yellow monster who loves living upside down. He says the world looks more fun that way. His pink wings aren't great for flying very high, but they are perfect for doing the strangest flips that confuse everyone. He's playful, noisy, and always laughing at things only he understands. He likes to hang from anything: branches, shelves, doors, even unsuspecting friends.",386,1,2,,,,
4,,Batinu,"Este pequeño bichito amarillo es puro nervio aéreo. A diferencia de su evolución, Batinu vuela 'al derecho' (con la panza hacia abajo), 
batiendo sus alas rosadas a una velocidad vertiginosa. El problema es que es tan hiperactivo que no sabe volar despacio: 
zumba de un lado a otro en líneas rectas y quiebros bruscos, como una mosca atrapada en una habitación.","This little yellow critter is pure aerial energy. Unlike its evolution, Batinu flies 'right-side up' (belly down), flapping its pink wings at a dizzying speed. The problem is that it is so hyperactive it doesn't know how to fly slowly: it zips back and forth in straight lines and sharp turns, like a fly trapped in a room.",323,2,3,,,,
5,,Flyffu,"Flyffu es un monstruito azul pequeñito y curioso que nunca se cansa de explorar. Con su gran ojo travieso y sus manitas rosadas, siempre está saludando a todo el mundo, incluso a las cosas que no son personas. Le encantan los sonidos brillantes, los chistes tontos y las carreras cortitas donde siempre llega el último pero festeja como si hubiera ganado. Su antenita-ojo se mueve cuando está emocionado, y casi siempre lo está. Flyffu es puro entusiasmo, alegría contagiosa y energía adorable sin control.","Flyffu is a tiny, curious blue monster who never tires of exploring. With his big, mischievous eye and pink hands, he's always greeting everyone, even things that aren't people. He loves bright sounds, silly jokes, and short races where he always comes in last but celebrates as if he's won. His antenna-eye twitches when he's excited, and he's almost always excited. Flyffu is pure enthusiasm, contagious joy, and adorable, boundless energy.",442,2,,,,,2
6,,Fluffy,"Fluffy es la evolución más grande, esponjosa y súper alegre de Flyffu. Ahora tiene dos ojos antenosos que se mueven por todas partes, lo que lo hace chocar con cosas, aunque él lo llama “bailar”. Le encanta abrazar amigos, hacer sonidos raros y contar historias que no siempre tienen sentido, pero siempre hacen reír. Fluffy es un bailarín incansable, un torbellino de color azul y rosa que convierte cualquier día aburrido en una fiesta explosiva de risas. Su sonrisa enorme ilumina todo el cuarto como una linterna monstruosa.","Fluffy is the biggest, fluffiest, and most cheerful evolution of Flyffu. He now has two antennae-like eyes that dart around, causing him to bump into things, though he calls it ""dancing."" He loves hugging friends, making silly noises, and telling stories that don't always make sense, but always get a laugh. Fluffy is a tireless dancer, a whirlwind of blue and pink who turns any dull day into an explosive party of laughter. His enormous smile lights up the whole room like a monstrous lantern.",496,4,,,,,3
7,,Hunter,Hunter es un monstruillo café con tres ojos en fila que parece haber sido diseñado por alguien que ama el caos. Sus brazos amarillos larguísimos sirven para atrapar cosas… o enredarse en ellas. Siempre tiene cara de “¿quién hizo ruido?”. Spoiler: fue él.,"Hunter is a small, brown monster with three eyes in a row who seems to have been designed by someone who loves chaos. His incredibly long, yellow arms are for grabbing things… or getting tangled up in them. He always has a “who made that noise?” look on his face. Spoiler alert: it was him.",291,2,2,,,,
8,,Ojancio,"Ojancio es un pequeño monstruo de un solo ojo que grita por absolutamente todo. Si se asusta, grita. Si está feliz, grita. Si ve una galleta, también grita. Aunque parezca muy nervioso, en realidad es muy tierno y siempre regresa a jugar. Sus manitas pequeñas tiemblan cuando está emocionado, lo cual ocurre todo el tiempo. Le encanta contar historias exageradas que él mismo interrumpe con más gritos. Ojancio es caótico, ruidoso y encantador, como un pequeño despertador monstruoso que nunca se olvida de ser divertido.","Ojancio is a little one-eyed monster who screams about absolutely everything. If he's scared, he screams. If he's happy, he screams. If he sees a cookie, he screams too. Although he seems very nervous, he's actually very sweet and always comes back to play. His little hands tremble when he's excited, which happens all the time. He loves to tell exaggerated stories that he then interrupts with more screams. Ojancio is chaotic, noisy, and charming, like a little monstrous alarm clock that never forgets to be fun.",516,1,1,,,,
9,,Ojancion,"Ojanción es la evolución de Ojancio y ahora tiene dos ojos grandotes que observan todo al mismo tiempo. Eso lo hace más valiente, pero también más chismoso, porque puede mirar dos cosas a la vez. Le encanta asustar a sus amigos con gritos teatrales y poses dramáticas. Aunque finge ser feroz, siempre termina riéndose primero. Le gusta organizar juegos, hacer travesuras y exagerar cualquier situación para que sea más emocionante.","Ojanción is the evolved form of Ojancio and now has two enormous eyes that observe everything at once. This makes him braver, but also more of a gossip, because he can look at two things at the same time. He loves to scare his friends with theatrical screams and dramatic poses. Although he pretends to be fierce, he always ends up laughing first. He likes to organize games, play pranks, and exaggerate any situation to make it more exciting.",443,2,2,,,,
10,,Ojanciclope,"Ojancíclope es la evolución final, con tres ojos gigantes que parecen verlo todo, incluso lo que aún no pasó. A veces se asusta de su propia sombra, pero luego intenta hacer amistad con ella. Es exagerado, ruidoso y muy expresivo; cada emoción la multiplica por tres. Le encanta organizar competencias locas y dramatizar cualquier pequeña sorpresa. Aunque pretende ser el más temible, siempre termina abrazando a todos.","Ojancíclope is the final evolution, with three giant eyes that seem to see everything, even what hasn't happened yet. Sometimes he's scared of his own shadow, but then he tries to befriend it. He's exaggerated, loud, and very expressive; he amplifies every emotion threefold. He loves organizing crazy competitions and dramatizing every little surprise. Although he pretends to be the most fearsome, he always ends up hugging everyone.",435,3,3,,,,
11,,Iggy,"Iggy es un cerdito monstruoso rosado, regordete y lleno de cuernitos suaves en su cuerpo. Aunque parezca rebelde, es un amor gigante que disfruta los abrazos sonoros que hacen “ploft”. Es curioso, bromista y siempre está dispuesto a ayudar, aunque a veces cause más caos que solución. Le encanta presumir su barriguita redonda y caminar orgulloso con paso firme. Es muy expresivo y siempre está sonriendo. Iggy es el compañero perfecto para cualquier aventura divertida y llena de travesuras amistosas.","Iggy is a monstrous pink pig, chubby and covered in soft little horns. Although he may seem rebellious, he's a giant of a sweetheart who loves loud ""ploft"" hugs. He's curious, playful, and always ready to lend a hand, even if he sometimes causes more chaos than he solves. He loves showing off his round tummy and striding proudly with a confident stride. He's very expressive and always has a smile on his face. Iggy is the perfect companion for any fun-filled adventure packed with friendly mischief.",502,1,,,,,1
12,,Igor  ,"Igor es más grande, fuerte y aún más orgullosa de su enorme panza. Sus cuernos sobresalen con estilo y su mirada traviesa anuncia que algo va a pasar. Aunque parece un poco más feroz, sigue siendo un monstruo bueno que protege a sus amigos con brazos fuertes. Le gusta posar como si fuera famoso y contar historias exageradas sobre sus aventuras. Camina con seguridad, hace bromas pesadas pero cariñosas y siempre trae energía. Igor evolucionado es puro poder adorable.","Igor is bigger, stronger, and even more proud of his enormous belly. His horns stick out stylishly, and his mischievous gaze hints at something's about to happen. Though he looks a bit fiercer, he's still a good monster who protects his friends with strong arms. He loves to pose like a celebrity and tell exaggerated stories about his adventures. He walks with confidence, makes mean but affectionate jokes, and always brings energy. Igor is pure adorable power.",463,3,,,,,3
13,,Eggon,"Eggon es un pequeño monstruo que siempre parece sorprendido por todo lo que ocurre a su alrededor. Con su cuerpo redondeado y lleno de manchas, se mueve con pasos torpes pero llenos de entusiasmo. Le encanta observar a los demás, aunque a veces se asusta con facilidad. Su ojo grande y expresivo refleja curiosidad constante, como si siempre estuviera descubriendo algo nuevo. Eggon disfruta explorar rincones desconocidos, aunque suele perderse y necesitar ayuda. Aun así, su simpatía y energía contagian a cualquiera que lo conozca.","Eggon is a small monster who always seems amazed by everything around him. With his rounded, spotted body, he moves with clumsy but enthusiastic steps. He loves observing others, though he's sometimes easily frightened. His large, expressive eyes reflect constant curiosity, as if he's always discovering something new. Eggon enjoys exploring unfamiliar places, though he often gets lost and needs help. Even so, his friendliness and energy are contagious to anyone who meets him.",480,3,,3,,,
14,,Silly,"Silly es un monstruo bajito y juguetón que nunca logra mantenerse quieto. Su único ojo siempre está abierto de par en par, vigilando cualquier oportunidad para hacer una travesura. Aunque su expresión parece un poco triste, en realidad es extremadamente cariñoso y disfruta mucho hacer reír a los demás. Es torpe, pero su torpeza lo hace aún más adorable. A Syllu le encanta perseguir mariposas, esconderse detrás de objetos diminutos y fingir que nadie puede verlo. Tiene un corazón enorme y siempre quiere nuevos amigos.","Silly is a short, playful monster who can never stay still. His single eye is always wide open, watching for any opportunity to get into mischief. Although his expression may seem a little sad, he is actually extremely affectionate and loves making others laugh. He's clumsy, but his clumsiness only makes him more adorable. Syllu loves chasing butterflies, hiding behind tiny objects, and pretending no one can see him. He has a huge heart and always wants to make new friends.",478,2,,2,,,
15,,Sully,"Sully es la versión más crecida y fuerte de Silly, manteniendo su característica mirada tímida pero desarrollando un cuerpo mucho más alto y firme. Sigue siendo sensible, aunque ahora tiene más seguridad en sí mismo y protege a quienes aprecia. Aunque conserva cierta torpeza, su tamaño le permite ayudar en tareas que antes parecían imposibles para él. Es amable, paciente y sorprendentemente sabio. Le gusta levantar cosas pesadas solo para impresionar a sus amigos, pero jamás presume.","Sully is the grown-up and stronger version of Silly, retaining his characteristic shy gaze but developing a much taller and more robust physique. He remains sensitive, though now more self-assured and protective of those he cares about. While still somewhat clumsy, his size allows him to assist with tasks that once seemed impossible for him. He is kind, patient, and surprisingly wise. He enjoys lifting heavy objects just to impress his friends, but he never boasts.",469,3,,3,,,
